Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Slovak Republic,SVK,2004,10691.44655,2,2,2,6,Summer
Sweden,SWE,2004,42821.67314,4,2,1,7,Summer
Syrian Arab Republic,SYR,2004,6241.058232,0,0,1,1,Summer
Thailand,THA,2004,2647.26172,3,1,4,8,Summer
Trinidad and Tobago,TTO,2004,9756.500371,0,0,1,1,Summer
Turkiye,TUR,2004,6031.947927,3,3,4,10,Summer
Ukraine,UKR,2004,1416.60376,8,5,9,22,Summer
United States,USA,2004,41724.63163,36,39,26,101,Summer
Uzbekistan,UZB,2004,465.1198869,2,1,2,5,Summer
"Venezuela, RB",VEN,2004,4287.707147,0,0,2,2,Summer
Afghanistan,AFG,2008,387.8491743,0,0,1,1,Summer
Argentina,ARG,2008,8977.506851,2,0,4,6,Summer
Armenia,ARM,2008,3908.94906,0,1,4,5,Summer
Australia,AUS,2008,49679.18053,14,15,17,46,Summer
Austria,AUT,2008,51919.98358,0,1,2,3,Summer
Azerbaijan,AZE,2008,5574.603802,1,1,4,6,Summer
Belgium,BEL,2008,48303.39796,2,0,0,2,Summer
Belarus,BLR,2008,6377.369732,3,4,7,14,Summer
Brazil,BRA,2008,8801.599484,3,4,10,17,Summer
Canada,CAN,2008,46710.50558,3,9,8,20,Summer
Channel Islands,CHI,2008,,0,1,0,1,Summer
China,CHN,2008,3468.304602,48,22,30,100,Summer
Cameroon,CMR,2008,1476.009215,1,0,0,1,Summer
Colombia,COL,2008,5527.449953,0,2,1,3,Summer
