Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Australia,1964,AUS,6.0,2.0,10.0,18.0,Summer,2131277.657,11167000.0,14.0,10.0,16.0,40.0
Austria,1964,AUT,4.0,5.0,3.0,12.0,Winter,1269412.583,7223801.0,6.0,8.0,6.0,20.0
Sweden,1964,SWE,3.0,3.0,1.0,7.0,Winter,2941048.8989999997,7661354.0,9.0,9.0,10.0,28.0
United States,1964,USA,1.0,2.0,4.0,7.0,Winter,3573941.185,191889000.0,38.0,27.0,23.0,88.0
Tajikistan,1964,TJK,0.0,0.0,0.0,0.0,0,,2452671.0,0.0,0.0,0.0,0.0
Argentina,1964,ARG,0.0,1.0,0.0,1.0,Summer,1179504.098,21708487.0,0.0,2.0,1.0,3.0
Thailand,1964,THA,0.0,0.0,0.0,0.0,0,129579.0389,30013573.0,0.0,0.0,0.0,0.0
United States,1964,USA,36.0,26.0,28.0,90.0,Summer,3573941.185,191889000.0,74.0,53.0,51.0,178.0
Ukraine,1964,UKR,0.0,0.0,0.0,0.0,0,,44941406.0,0.0,0.0,0.0,0.0
Armenia,1964,ARM,0.0,0.0,0.0,0.0,0,,2171029.0,0.0,0.0,0.0,0.0
Turkmenistan,1964,TKM,0.0,0.0,0.0,0.0,0,,1836621.0,0.0,0.0,0.0,0.0
Azerbaijan,1964,AZE,0.0,0.0,0.0,0.0,0,,4439250.0,0.0,0.0,0.0,0.0
Uzbekistan,1964,UZB,0.0,0.0,0.0,0.0,0,,9758147.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,1964,TTO,0.0,1.0,2.0,3.0,Summer,779389.2566,913399.0,0.0,1.0,2.0,3.0
Syrian Arab Republic,1968,SYR,0.0,0.0,0.0,0.0,0,264227.7582,5912715.0,0.0,0.0,0.0,0.0
Peru,1968,PER,0.0,0.0,0.0,0.0,0,446622.489,12843249.0,0.0,0.0,0.0,0.0
